Date,Open,High,Low,Close,Volume
2000-01-03,17098,17408,16719,16930
2000-01-04,16908,16908,15851,15851
2000-01-05,15871,16302,15350,16245
2000-01-06,16237,16499,15977,16107
2000-01-07,16125,16449,16125,16309
2000-01-10,16325,17057,16325,17022
2000-01-11,17045,17197,16573,16573
2000-01-12,16574,16724,16331,16617
2000-01-13,16663,17715,16663,17298
2000-01-14,17306,17800,17306,17658
2000-01-17,17678,18099,17678,18053
2000-01-18,18062,18062,17625,17903
2000-01-19,17905,18075,17470,17470
2000-01-20,17487,17622,17029,17177
2000-01-21,17188,17372,16901,17034
2000-01-24,17049,17263,16972,16972
2000-01-26,16972,17105,16727,17105
2000-01-27,17114,17422,17081,17081
2000-01-28,17150,17252,16547,16734
2000-01-31,16744,16749,16167,16388
2000-02-01,16389,16675,16389,16522
2000-02-02,16546,16875,16546,16868
2000-02-03,16892,17457,16892,17457
2000-02-04,17471,17962,17471,17932
2000-02-07,17937,18126,17746,18126
2000-02-08,18249,18729,18249,18686
2000-02-09,18759,18886,18224,18361
2000-02-10,18367,18672,18155,18604
2000-02-11,18635,18775,18027,18083
2000-02-14,18083,18264,17746,17819
2000-02-15,17818,17932,17451,17921
2000-02-16,17921,18247,17743,18112
2000-02-17,18116,18297,17979,17979
2000-02-18,17979,18008,17489,17625
2000-02-21,17626,17887,17364,17700
2000-02-22,17698,17913,17466,17489
2000-02-23,17489,17855,17479,17833
2000-02-24,17846,18119,17706,17776
2000-02-25,17784,17988,17758,17787
2000-02-28,17787,17787,17383,17543
2000-02-29,17545,17818,17545,17660
2000-03-01,17668,17953,17655,17953
2000-03-02,17966,18154,17809,18016
2000-03-03,18016,18632,18016,18632
2000-03-08,18617,18617,18184,18283
2000-03-09,18285,18650,18285,18650
2000-03-10,18650,18720,18233,18280
2000-03-13,18279,18279,17506,17595
2000-03-14,17595,17941,17222,17222
2000-03-15,17229,17469,16922,17382
2000-03-16,17397,17661,17397,17642
2000-03-17,17654,17733,17470,17511
2000-03-20,17511,17733,17435,17526
2000-03-21,17528,18343,17510,18343
2000-03-22,18346,18860,18314,18314
2000-03-23,18314,18644,18183,18331
2000-03-24,18332,18692,18332,18675
2000-03-27,18675,19047,18533,18951
2000-03-28,18952,18960,18335,18338
2000-03-29,18339,18575,17973,18053
2000-03-30,18053,18053,17455,17647
2000-03-31,17660,17950,17560,17820
2000-04-03,17825.98,17825.98,17173.32,17245.47
2000-04-04,17253.08,17450.44,16095.42,16757.93
2000-04-05,16762.08,17042.75,16229.74,16714.37
2000-04-06,16718.73,17152.22,16718.73,17146.13
2000-04-07,17149.7,17513.72,17149.7,17513.72
2000-04-10,17519.11,17571.85,16781.98,16783.32
2000-04-11,16786.96,16867.15,16309.33,16539.35
2000-04-12,16542.26,16785.14,16310.61,16323.36
2000-04-13,16325.3,16605.14,15500.81,15500.81
2000-04-14,15500.81,15500.81,14596.35,14794.34
2000-04-17,14761.33,14820.62,14029.35,14815.68
2000-04-18,14817.05,15468.85,14767,15408.4
2000-04-19,15437.87,15535.94,14849.52,14926.15
2000-04-20,14938.19,15203.62,14938.19,15203.21
